area_type,location,area,bathrooms,balcony,price,bedrooms,price_per_sqft,total_rooms,is_luxury
Super built-up  Area,Hennur Road,2089.0,3.0,2.0,140.0,3.0,0.06701771182383916,6.0,1
Super built-up  Area,Kothannur,1206.0,2.0,1.0,48.23,2.0,0.03999170812603648,4.0,0
Super built-up  Area,Kalena Agrahara,1150.0,2.0,3.0,40.0,2.0,0.034782608695652174,4.0,0
Built-up  Area,Cholanayakanahalli,2511.0,3.0,3.0,205.0,3.0,0.08164078056551174,6.0,1
Built-up  Area,Kaval Byrasandra,460.0,1.0,0.0,22.0,2.0,0.04782608695652174,3.0,0
Super built-up  Area,Kodanda Reddy Layout,1660.0,2.0,2.0,105.0,3.0,0.06325301204819277,5.0,1
Built-up  Area,Hennur Road,3203.5,2.0,2.0,224.5,4.0,0.07007960043702201,6.0,1
Super built-up  Area,Yelahanka,1326.0,2.0,2.0,78.0,2.0,0.058823529411764705,4.0,1
Super built-up  Area,Garudachar Palya,1325.0,2.0,2.0,60.8,3.0,0.045886792452830186,5.0,0
Super built-up  Area,EPIP Zone,1499.0,5.0,2.0,102.0,3.0,0.06804536357571714,8.0,1
Built-up  Area,Hegde Nagar,3000.0,7.0,2.0,210.0,6.0,0.07,13.0,1
Super built-up  Area,Kanakpura Road,1665.0,3.0,2.0,88.0,3.0,0.05285285285285285,6.0,1
Super built-up  Area,Dasanapura,708.0,2.0,2.0,37.0,2.0,0.052259887005649715,4.0,0
Super built-up  Area,Kasavanhalli,1060.0,2.0,2.0,58.06,2.0,0.05477358490566038,4.0,0
Plot  Area,Rajaji Nagar,710.0,6.0,3.0,160.0,6.0,0.22535211267605634,12.0,1
Built-up  Area,Sanjay nagar,1000.0,2.0,2.0,70.0,2.0,0.07,4.0,1
Super built-up  Area,Electronic City,1000.0,2.0,1.0,28.88,2.0,0.02888,4.0,0
Super built-up  Area, Mysore Highway,1450.0,2.0,2.0,70.0,3.0,0.04827586206896552,5.0,1
Plot  Area,ISRO Layout,1200.0,4.0,2.0,155.0,4.0,0.12916666666666668,8.0,1
Super built-up  Area,Thanisandra,1296.0,2.0,3.0,80.0,2.0,0.06172839506172839,4.0,1
Super built-up  Area,Domlur,1540.0,3.0,2.0,90.0,3.0,0.05844155844155844,6.0,1
Super built-up  Area,Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3.0,0.03609022556390978,5.0,0
Built-up  Area,Devasthanagalu,1200.0,2.0,1.0,65.0,2.0,0.05416666666666667,4.0,0
Built-up  Area,T Dasarahalli,1200.0,3.0,1.0,90.0,3.0,0.075,6.0,1
Super built-up  Area,Yeshwanthpur,2502.0,3.0,3.0,138.0,3.0,0.05515587529976019,6.0,1
Built-up  Area,Chandapura,650.0,1.0,1.0,17.0,2.0,0.026153846153846153,3.0,0
Plot  Area,Kothanur,2400.0,2.0,1.0,150.0,3.0,0.0625,5.0,1
Super built-up  Area,Green View Layout,1007.0,2.0,2.0,43.0,2.0,0.04270109235352532,4.0,0
Super built-up  Area,Shantiniketan Layout,1200.0,2.0,2.0,50.0,2.0,0.041666666666666664,4.0,0
Super built-up  Area,Peenya,966.0,2.0,2.0,49.9,2.0,0.05165631469979296,4.0,0
Built-up  Area,Nagarbhavi,1630.0,2.0,1.0,98.0,3.0,0.06012269938650307,5.0,1
Built-up  Area,Jalahalli West,782.0,2.0,2.0,55.68,2.0,0.07120204603580563,4.0,0
Super built-up  Area,Devanahalli,1260.0,2.0,2.0,66.78,2.0,0.053,4.0,1
Super built-up  Area,Lakshmiamma Garden,1800.0,3.0,3.0,120.0,3.0,0.06666666666666667,6.0,1
Super built-up  Area,Byatarayanapura,1413.0,2.0,2.0,75.0,3.0,0.05307855626326964,5.0,1
Super built-up  Area,Whitefield,1116.0,2.0,1.0,51.91,2.0,0.046514336917562724,4.0,0
Super built-up  Area,Electronic City,1530.0,2.0,1.0,45.9,3.0,0.03,5.0,0
Built-up  Area,Sarjapur  Road,2497.0,3.0,2.0,140.0,3.0,0.05606728073688426,6.0,1
Super built-up  Area,Kengeri,1540.0,2.0,3.0,64.0,3.0,0.04155844155844156,5.0,0
Super built-up  Area,Thanisandra,1436.0,3.0,1.0,74.75,3.0,0.052054317548746516,6.0,1
Super built-up  Area,Malleshwaram,1100.0,2.0,2.0,75.0,2.0,0.06818181818181818,4.0,1
Plot  Area,Hennur Road,276.0,3.0,3.0,23.0,2.0,0.08333333333333333,5.0,0
Super built-up  Area,Thanisandra,1427.0,3.0,2.0,120.0,3.0,0.08409250175192712,6.0,1
Super built-up  Area,Akshaya Nagar,2061.0,3.0,1.0,200.0,3.0,0.09704027171276079,6.0,1
Built-up  Area,Shampura,2650.0,4.0,2.0,150.0,4.0,0.05660377358490566,8.0,1
Super built-up  Area,Devanahalli,1282.0,2.0,2.0,68.52,3.0,0.05344773790951638,5.0,1
Built-up  Area,Kadugodi,1050.0,2.0,1.0,34.0,2.0,0.03238095238095238,4.0,0
Built-up  Area,LB Shastri Nagar,1600.0,3.0,2.0,65.0,3.0,0.040625,6.0,0
Super built-up  Area,Vajarahalli,945.0,2.0,1.0,54.0,2.0,0.05714285714285714,4.0,0
Super built-up  Area,Hormavu,1500.0,2.0,1.0,78.0,2.0,0.052,4.0,1
Plot  Area,Vishwapriya Layout,950.0,7.0,0.0,115.0,7.0,0.12105263157894737,14.0,1
Built-up  Area,Peenya,1870.0,3.0,3.0,110.0,3.0,0.058823529411764705,6.0,1
Plot  Area,Sarjapur,1600.0,3.0,1.0,75.0,3.0,0.046875,6.0,1
Super built-up  Area,Electronic City,880.0,1.0,1.0,16.5,2.0,0.01875,3.0,0
Plot  Area,Ramaswamy Palya - Kammanahalli Main Road,1200.0,4.0,0.0,210.0,4.0,0.175,8.0,1
Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,83.0,3.0,0.054071661237785014,6.0,1
Built-up  Area,Kanakpura Road,950.0,2.0,1.0,57.0,2.0,0.06,4.0,0
Super built-up  Area,Devanahalli,1360.0,2.0,1.0,65.0,2.0,0.04779411764705882,4.0,0
Super built-up  Area,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2.0,0.05030740568234746,4.0,0
Super built-up  Area,Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3.0,0.039375,6.0,0
Super built-up  Area,Chandra Layout,1260.0,2.0,2.0,85.05,3.0,0.0675,5.0,1
Super built-up  Area,Yelahanka,3050.0,5.0,1.0,213.0,5.0,0.06983606557377049,10.0,1
Super built-up  Area,Kasavanhalli,1563.05,3.0,1.0,105.0,3.0,0.06717635392341896,6.0,1
Super built-up  Area,ISRO Layout,1000.0,2.0,1.0,60.0,2.0,0.06,4.0,0
Super built-up  Area,Anandapura,1167.0,2.0,1.0,43.76,2.0,0.037497857754927165,4.0,0
Super built-up  Area,Kothanur,1828.0,3.0,2.0,110.0,3.0,0.060175054704595186,6.0,1
Super built-up  Area,Kengeri Satellite Town,890.0,2.0,1.0,35.0,2.0,0.03932584269662921,4.0,0
Super built-up  Area,Basavanapura,1612.0,3.0,3.0,46.74,3.0,0.028995037220843674,6.0,0
Plot  Area,Dinnur,1034.0,5.0,3.0,185.0,6.0,0.17891682785299806,11.0,1
Super built-up  Area,Mysore Road,1710.0,4.0,2.0,91.31,3.0,0.05339766081871345,7.0,1
Super built-up  Area,Kannamangala,957.0,2.0,1.0,58.0,2.0,0.06060606060606061,4.0,0
Super built-up  Area, Devarachikkanahalli,1250.0,2.0,3.0,44.0,3.0,0.0352,5.0,0
Super built-up  Area,Hulimavu,1125.0,2.0,2.0,50.0,2.0,0.044444444444444446,4.0,0
Super built-up  Area,Electronic City Phase II,1020.0,2.0,1.0,30.6,2.0,0.030000000000000002,4.0,0
Super built-up  Area,Kalena Agrahara,1200.0,2.0,2.0,50.0,2.0,0.041666666666666664,4.0,0
Super built-up  Area,Thanisandra,1735.0,3.0,3.0,135.0,3.0,0.07780979827089338,6.0,1
Super built-up  Area,Thanisandra,2050.0,3.0,1.0,145.0,3.0,0.07073170731707316,6.0,1
Built-up  Area,Yarandahalli,1350.0,2.0,3.0,48.0,3.0,0.035555555555555556,5.0,0
Super built-up  Area,Hosa Road,1063.0,2.0,1.0,32.0,2.0,0.030103480714957668,4.0,0
Super built-up  Area,Keshava Nagar,1904.0,3.0,1.0,150.0,3.0,0.07878151260504201,6.0,1
Super built-up  Area,RMV Extension,2000.0,3.0,1.0,175.0,3.0,0.0875,6.0,1
Super built-up  Area,Sarjapur,1242.5,2.0,0.0,43.49,2.0,0.035002012072434606,4.0,0
Super built-up  Area,Tejaswini Nagar,1425.0,2.0,2.0,75.0,3.0,0.05263157894736842,5.0,1
Super built-up  Area,Electronic City,1500.0,2.0,1.0,64.5,3.0,0.043,5.0,0
Built-up  Area,Electronic City,1060.0,2.0,1.0,60.0,2.0,0.05660377358490566,4.0,0
Built-up  Area,Jai Bheema Nagar,1470.0,2.0,2.0,70.0,3.0,0.047619047619047616,5.0,1
Super built-up  Area,Kothnur Narayanapura,1300.0,6.0,0.0,99.0,6.0,0.07615384615384616,12.0,1
Super built-up  Area,Attibele,450.0,1.0,1.0,11.0,1.0,0.024444444444444446,2.0,0
Super built-up  Area,Electronic City,1152.0,2.0,1.0,64.5,2.0,0.055989583333333336,4.0,0
Super built-up  Area,Electronic City,1350.0,2.0,1.0,56.0,3.0,0.04148148148148148,5.0,0
Super built-up  Area,CV Raman Nagar,1550.0,3.0,3.0,65.0,3.0,0.041935483870967745,6.0,0
Plot  Area,CHIKKATIRUPATHI,1500.0,3.0,2.0,100.0,3.0,0.06666666666666667,6.0,1
Plot  Area,Kumaraswami Layout,600.0,3.0,2.0,85.0,5.0,0.14166666666666666,8.0,1
Plot  Area,Nagavara,400.0,1.0,0.0,14.0,1.0,0.035,2.0,0
Super built-up  Area,Malleshwaram,705.0,1.0,2.0,67.0,1.0,0.0950354609929078,2.0,1
Built-up  Area,Electronic City,770.0,1.0,1.0,36.0,2.0,0.046753246753246755,3.0,0
Super built-up  Area,Hulimavu,1242.0,2.0,3.0,51.0,2.0,0.04106280193236715,4.0,0
Super built-up  Area,Hebbal Kempapura,1700.0,3.0,2.0,155.0,3.0,0.09117647058823529,6.0,1
Super built-up  Area,Thanisandra,2144.0,3.0,2.0,145.0,3.0,0.06763059701492537,6.0,1
Super built-up  Area,Vijayanagar,1704.0,3.0,2.0,110.0,3.0,0.06455399061032864,6.0,1
Super built-up  Area,Electronic City,1070.0,2.0,1.0,52.0,2.0,0.048598130841121495,4.0,0
Super built-up  Area,Jakkuru Layout,1340.0,2.0,2.0,55.7,2.0,0.04156716417910448,4.0,0
Built-up  Area,Electronic City,1025.0,2.0,1.0,46.0,2.0,0.0448780487804878,4.0,0
Super built-up  Area,KR Puram,1277.5,2.0,0.0,56.8,2.0,0.04446183953033268,4.0,0
Super built-up  Area,Marathahalli,1200.0,2.0,2.0,52.0,2.0,0.043333333333333335,4.0,0
Built-up  Area,Kanakpura Road,2250.0,4.0,1.0,110.0,4.0,0.04888888888888889,8.0,1
Super built-up  Area,Pattandur Agrahara,1550.0,2.0,3.0,80.0,3.0,0.05161290322580645,5.0,1
Super built-up  Area,Marathahalli,1200.0,2.0,2.0,60.0,2.0,0.05,4.0,0
Super built-up  Area,Yelahanka,1327.0,2.0,2.0,98.0,2.0,0.07385079125847777,4.0,1
Super built-up  Area,Kothanur,1186.0,2.0,2.0,58.0,2.0,0.048903878583473864,4.0,0
Built-up  Area,MS Pallya,1783.0,3.0,1.0,115.0,3.0,0.06449803701626472,6.0,1
Super built-up  Area,HSR Layout,1400.0,3.0,2.0,56.0,3.0,0.04,6.0,0
Super built-up  Area,Nagasandra,980.0,2.0,1.0,48.0,2.0,0.04897959183673469,4.0,0
Super built-up  Area,EPIP Zone,1285.0,2.0,2.0,82.0,2.0,0.06381322957198443,4.0,1
Super built-up  Area,Langford Town,912.0,2.0,1.0,70.0,3.0,0.07675438596491228,5.0,1
Built-up  Area,Whitefield,1225.0,2.0,2.0,47.6,2.0,0.03885714285714286,4.0,0
Super built-up  Area,Whitefield,1075.0,2.0,1.0,53.0,2.0,0.04930232558139535,4.0,0
Built-up  Area,Kadugodi,1260.0,2.0,2.0,54.0,3.0,0.04285714285714286,5.0,0
Super built-up  Area,Yelahanka,1282.0,2.0,2.0,48.7,3.0,0.03798751950078003,5.0,0
Super built-up  Area,Kogilu,1909.0,3.0,2.0,88.0,3.0,0.04609743321110529,6.0,1
Super built-up  Area,Panathur,1359.0,2.0,1.0,87.0,2.0,0.0640176600441501,4.0,1
Built-up  Area,Nagondanahalli,1207.0,2.0,2.0,43.5,2.0,0.03603976801988401,4.0,0
Plot  Area,Padmanabhanagar,1736.0,6.0,0.0,190.0,4.0,0.10944700460829493,10.0,1
Super built-up  Area,Kammasandra,1595.0,3.0,2.0,65.0,3.0,0.04075235109717868,6.0,0
Built-up  Area,"Off Sarjapur Road, ",1798.0,3.0,2.0,89.0,3.0,0.04949944382647386,6.0,1
Super built-up  Area,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3.0,0.05307796610169492,6.0,1
Super built-up  Area,Tala Cauvery Layout,1580.0,3.0,3.0,100.0,3.0,0.06329113924050633,6.0,1
Super built-up  Area,Dasarahalli,1295.0,2.0,1.0,65.0,2.0,0.05019305019305019,4.0,0
Built-up  Area,Magadi Road,3600.0,6.0,0.0,141.0,6.0,0.03916666666666667,12.0,1
Super built-up  Area,Electronic City,589.0,1.0,1.0,27.0,1.0,0.04584040747028863,2.0,0
Super built-up  Area,Ngef Layout,1415.0,3.0,3.0,78.0,3.0,0.05512367491166078,6.0,1
Super built-up  Area,Sarjapur  Road,1787.0,3.0,2.0,98.29,3.0,0.05500279798545048,6.0,1
Super built-up  Area,Sarjapur  Road,1787.0,3.0,2.0,125.0,3.0,0.06994963626189143,6.0,1
Super built-up  Area,Koramangala,1475.0,2.0,3.0,90.0,3.0,0.061016949152542375,5.0,1
Built-up  Area,"Lakshminarayanapura, Electronic City Phase 2",2000.0,4.0,1.0,75.5,4.0,0.03775,8.0,1
Super built-up  Area,Sarjapur  Road,984.0,2.0,1.0,44.28,2.0,0.045,4.0,0
Super built-up  Area,Devanahalli,1630.0,2.0,1.0,74.82,3.0,0.04590184049079754,5.0,1
Built-up  Area,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2.0,0.06666666666666667,4.0,1
Plot  Area,Shantiniketan Layout,1500.0,2.0,1.0,115.0,2.0,0.07666666666666666,4.0,1
Super built-up  Area,Hebbal,1900.0,3.0,2.0,119.0,3.0,0.06263157894736843,6.0,1
Super built-up  Area,Dommasandra,805.0,2.0,1.0,22.14,2.0,0.027503105590062114,4.0,0
Super built-up  Area,Budigere,1153.0,2.0,2.0,56.4,2.0,0.04891587163920208,4.0,0
Super built-up  Area,Dodda Nekkundi Extension,1148.0,2.0,2.0,60.0,2.0,0.05226480836236934,4.0,0
Super built-up  Area,Mylasandra,1110.0,2.0,2.0,55.0,2.0,0.04954954954954955,4.0,0
Built-up  Area,Electronic City,1100.0,2.0,2.0,42.0,2.0,0.038181818181818185,4.0,0
Super built-up  Area,Kalyan nagar,1290.0,2.0,2.0,110.0,2.0,0.08527131782945736,4.0,1
Super built-up  Area,Dr Shivarama Karantha Nagar,1500.0,2.0,1.0,65.0,3.0,0.043333333333333335,5.0,0
Super built-up  Area,Bank Of Baroda Colony,1080.0,2.0,2.0,39.0,2.0,0.03611111111111111,4.0,0
Super built-up  Area,Vijayanagar,1933.0,3.0,1.0,129.0,3.0,0.06673564407656493,6.0,1
Built-up  Area,Ramamurthy Nagar,3500.0,5.0,2.0,150.0,5.0,0.04285714285714286,10.0,1
Built-up  Area,Kullappa Colony,1060.0,2.0,2.0,60.0,2.0,0.05660377358490566,4.0,0
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1.0,0.025503875968992246,2.0,0
Plot  Area,Mukkutam Nagar,2600.0,8.0,2.0,180.0,8.0,0.06923076923076923,16.0,1
Super built-up  Area,Chandapura,645.0,1.0,1.0,16.45,1.0,0.025503875968992246,2.0,0
Super built-up  Area,Ashwath Nagar,1644.0,3.0,3.0,84.0,3.0,0.051094890510948905,6.0,1
Super built-up  Area,Ncpr Industrial Layout,1285.0,2.0,3.0,72.5,2.0,0.05642023346303502,4.0,1
Plot  Area,Electronic City,1200.0,3.0,1.0,90.0,3.0,0.075,6.0,1
Super built-up  Area,Electronic City,910.0,2.0,1.0,40.0,2.0,0.04395604395604396,4.0,0
Super built-up  Area,Kothanur,1577.0,3.0,1.0,70.0,3.0,0.04438807863031072,6.0,1
Super built-up  Area,OMBR Layout,2420.0,3.0,2.0,185.0,3.0,0.07644628099173553,6.0,1
Super built-up  Area,Chandapura,800.0,1.0,1.0,20.0,2.0,0.025,3.0,0
Built-up  Area,Anand Nagar,1060.0,2.0,2.0,55.0,2.0,0.05188679245283019,4.0,0
Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2.0,0.07322834645669292,4.0,1
Super built-up  Area,Shree Ananth Nagar Layout,900.0,2.0,2.0,22.5,2.0,0.025,4.0,0
Built-up  Area,Kundalahalli Colony,1280.0,2.0,1.0,69.0,2.0,0.05390625,4.0,1
Plot  Area,Horamavu Agara,1200.0,2.0,0.0,95.0,4.0,0.07916666666666666,6.0,1
Built-up  Area,Sarjapur  Road,1025.0,2.0,2.0,36.0,2.0,0.0351219512195122,4.0,0
Super built-up  Area,Electronic City,1108.0,2.0,1.0,63.0,2.0,0.05685920577617329,4.0,0
Plot  Area,MCECHS  layout,1200.0,5.0,1.0,170.0,5.0,0.14166666666666666,10.0,1
Super built-up  Area,Coffee Board Layout,3045.0,3.0,2.0,170.0,3.0,0.05582922824302135,6.0,1
Super built-up  Area,Vijayanagar,1500.0,3.0,2.0,75.5,3.0,0.050333333333333334,6.0,1
Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2.0,0.0338996138996139,4.0,0
Super built-up  Area,Budigere,1162.0,2.0,1.0,59.9,2.0,0.05154905335628227,4.0,0
Super built-up  Area,Sarjapur  Road,1035.0,2.0,2.0,49.2,2.0,0.04753623188405797,4.0,0
Built-up  Area,Attibele,1600.0,4.0,0.0,52.8,4.0,0.033,8.0,0
Super built-up  Area,KUDLU MAIN ROAD,1464.0,3.0,2.0,46.0,3.0,0.031420765027322405,6.0,0
Super built-up  Area,Hennur Road,1866.0,2.0,2.0,61.58,3.0,0.0330010718113612,5.0,0
Super built-up  Area,Geleyara Balaga Layout,700.0,1.0,1.0,26.0,2.0,0.037142857142857144,3.0,0
Super built-up  Area,Kalena Agrahara,1804.0,3.0,2.0,120.0,3.0,0.06651884700665188,6.0,1
Super built-up  Area,Sarjapur,913.0,2.0,1.0,32.0,2.0,0.03504928806133625,4.0,0
Super built-up  Area,Talaghattapura,1868.0,3.0,2.0,131.0,3.0,0.07012847965738758,6.0,1
Built-up  Area,Kengeri Satellite Town,883.0,2.0,1.0,45.0,2.0,0.05096262740656852,4.0,0
Plot  Area,Sundara Nagar,900.0,2.0,1.0,110.0,2.0,0.12222222222222222,4.0,1
Super built-up  Area,Kogilu,1664.0,2.0,3.0,73.95,3.0,0.04444110576923077,5.0,1
Super built-up  Area,Hegde Nagar,2026.0,3.0,2.0,132.0,3.0,0.06515301085883514,6.0,1
Super built-up  Area,Balagere,1210.0,2.0,1.0,80.9,2.0,0.0668595041322314,4.0,1
Super built-up  Area,Kadugodi,1762.0,3.0,3.0,91.45,3.0,0.05190124858115778,6.0,1
Super built-up  Area,Jigani,1252.0,3.0,3.0,55.0,3.0,0.0439297124600639,6.0,0
Built-up  Area,Gollarapalya Hosahalli,861.0,2.0,1.0,34.5,2.0,0.04006968641114982,4.0,0
Built-up  Area,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3.0,0.07042253521126761,5.0,1
Built-up  Area,Electronics City Phase 1,1490.0,3.0,1.0,78.8,3.0,0.05288590604026845,6.0,1
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,46.0,3.0,0.04279069767441861,5.0,0
Super built-up  Area,Old Madras Road,1425.0,2.0,2.0,94.0,3.0,0.06596491228070175,5.0,1
Built-up  Area,Kalena Agrahara,1200.0,2.0,1.0,40.0,2.0,0.03333333333333333,4.0,0
Super built-up  Area,Kaggadasapura,1280.0,2.0,2.0,56.0,3.0,0.04375,5.0,0
Super built-up  Area,Silver Springs Layout,1084.0,2.0,2.0,50.0,2.0,0.046125461254612546,4.0,0
Super built-up  Area,Chandapura,1015.0,2.0,2.0,25.88,2.0,0.025497536945812808,4.0,0
Super built-up  Area,Kanakpura Road,1017.0,2.0,1.0,51.25,2.0,0.05039331366764995,4.0,0
Super built-up  Area,Haralur Road,1027.0,2.0,2.0,44.0,2.0,0.042843232716650435,4.0,0
